model,variable,value,tissue
nn_hb,rocauc,0.634012539184953,all_tissues
rf,rocauc,0.561128526645768,all_tissues
ridge_classification,rocauc,0.6144200626959248,all_tissues
svm,rocauc,0.5556426332288402,all_tissues
nn_hb,rocauc,0.5,bladder/urinary
rf,rocauc,0.5,bladder/urinary
ridge_classification,rocauc,0.0,bladder/urinary
svm,rocauc,0.25,bladder/urinary
nn_hb,rocauc,0.0,bone
rf,rocauc,0.0,bone
ridge_classification,rocauc,0.5,bone
svm,rocauc,0.0,bone
nn_hb,rocauc,0.5833333333333334,bowel
rf,rocauc,0.6666666666666667,bowel
ridge_classification,rocauc,0.7083333333333334,bowel
svm,rocauc,0.5,bowel
nn_hb,rocauc,0.5,breast
rf,rocauc,0.75,breast
ridge_classification,rocauc,1.0,breast
svm,rocauc,0.75,breast
nn_hb,rocauc,0.0,cervix
rf,rocauc,0.0,cervix
ridge_classification,rocauc,0.0,cervix
svm,rocauc,0.0,cervix
nn_hb,rocauc,0.6666666666666666,cns/brain
rf,rocauc,0.5,cns/brain
ridge_classification,rocauc,0.8333333333333333,cns/brain
svm,rocauc,0.8333333333333333,cns/brain
nn_hb,rocauc,0.8333333333333334,esophagus/stomach
rf,rocauc,0.5,esophagus/stomach
ridge_classification,rocauc,0.5833333333333334,esophagus/stomach
svm,rocauc,0.5,esophagus/stomach
nn_hb,rocauc,0.0,fibroblast
rf,rocauc,0.0,fibroblast
ridge_classification,rocauc,0.0,fibroblast
svm,rocauc,0.0,fibroblast
nn_hb,rocauc,0.0,kidney
rf,rocauc,0.25,kidney
ridge_classification,rocauc,0.5,kidney
svm,rocauc,0.5,kidney
nn_hb,rocauc,1.0,liver
rf,rocauc,0.25,liver
ridge_classification,rocauc,1.0,liver
svm,rocauc,0.75,liver
nn_hb,rocauc,0.7820512820512822,lung
rf,rocauc,0.5865384615384616,lung
ridge_classification,rocauc,0.6730769230769231,lung
svm,rocauc,0.625,lung
nn_hb,rocauc,0.2857142857142857,lymphoid
rf,rocauc,0.6428571428571428,lymphoid
ridge_classification,rocauc,0.42857142857142855,lymphoid
svm,rocauc,0.6428571428571428,lymphoid
nn_hb,rocauc,0.75,myeloid
rf,rocauc,0.5,myeloid
ridge_classification,rocauc,0.5,myeloid
svm,rocauc,0.5,myeloid
nn_hb,rocauc,1.0,ovary/fallopian
rf,rocauc,1.0,ovary/fallopian
ridge_classification,rocauc,0.5,ovary/fallopian
svm,rocauc,1.0,ovary/fallopian
nn_hb,rocauc,1.0,pancreas
rf,rocauc,0.5,pancreas
ridge_classification,rocauc,0.6666666666666666,pancreas
svm,rocauc,0.5,pancreas
nn_hb,rocauc,0.0,pleura
rf,rocauc,0.5,pleura
ridge_classification,rocauc,0.0,pleura
svm,rocauc,0.0,pleura
nn_hb,rocauc,0.0,pns
rf,rocauc,0.5,pns
ridge_classification,rocauc,0.25,pns
svm,rocauc,0.5,pns
nn_hb,rocauc,0.0,prostate
rf,rocauc,0.0,prostate
ridge_classification,rocauc,0.0,prostate
svm,rocauc,0.0,prostate
nn_hb,rocauc,0.6666666666666666,skin
rf,rocauc,0.625,skin
ridge_classification,rocauc,0.41666666666666663,skin
svm,rocauc,0.625,skin
nn_hb,rocauc,0.0,thyroid
rf,rocauc,0.0,thyroid
ridge_classification,rocauc,0.0,thyroid
svm,rocauc,0.0,thyroid
nn_hb,rocauc,0.0,uterus
rf,rocauc,0.75,uterus
ridge_classification,rocauc,0.5,uterus
svm,rocauc,0.75,uterus
