model,variable,value,tissue
nn_hb,rocauc,0.6366471734892788,all_tissues
rf,rocauc,0.6023391812865497,all_tissues
ridge_classification,rocauc,0.571345029239766,all_tissues
nn_hb,rocauc,0.0,autonomic
rf,rocauc,0.0,autonomic
ridge_classification,rocauc,0.0,autonomic
nn_hb,rocauc,0.0,bone
rf,rocauc,0.0,bone
ridge_classification,rocauc,0.0,bone
nn_hb,rocauc,0.41666666666666663,breast
rf,rocauc,0.5,breast
ridge_classification,rocauc,0.5,breast
nn_hb,rocauc,1.0,central
rf,rocauc,0.5,central
ridge_classification,rocauc,0.5833333333333333,central
nn_hb,rocauc,0.0,endometrium
rf,rocauc,0.0,endometrium
ridge_classification,rocauc,0.0,endometrium
nn_hb,rocauc,0.5111111111111111,haematopoietic
rf,rocauc,0.5111111111111112,haematopoietic
ridge_classification,rocauc,0.7333333333333333,haematopoietic
nn_hb,rocauc,0.0,kidney
rf,rocauc,0.0,kidney
ridge_classification,rocauc,0.0,kidney
nn_hb,rocauc,0.5833333333333334,large
rf,rocauc,0.5416666666666667,large
ridge_classification,rocauc,0.7083333333333334,large
nn_hb,rocauc,0.75,liver
rf,rocauc,0.75,liver
ridge_classification,rocauc,0.25,liver
nn_hb,rocauc,0.7384615384615385,lung
rf,rocauc,0.7615384615384615,lung
ridge_classification,rocauc,0.7076923076923077,lung
nn_hb,rocauc,0.6666666666666666,oesophagus
rf,rocauc,0.3333333333333333,oesophagus
ridge_classification,rocauc,0.6666666666666667,oesophagus
nn_hb,rocauc,0.0,ovary
rf,rocauc,0.5,ovary
ridge_classification,rocauc,0.25,ovary
nn_hb,rocauc,0.5,pancreas
rf,rocauc,0.41666666666666663,pancreas
ridge_classification,rocauc,0.25,pancreas
nn_hb,rocauc,0.0,pleura
rf,rocauc,0.0,pleura
ridge_classification,rocauc,0.0,pleura
nn_hb,rocauc,0.6666666666666666,skin
rf,rocauc,0.7,skin
ridge_classification,rocauc,0.6333333333333333,skin
nn_hb,rocauc,0.0,soft
rf,rocauc,0.0,soft
ridge_classification,rocauc,0.0,soft
nn_hb,rocauc,0.0,stomach
rf,rocauc,0.0,stomach
ridge_classification,rocauc,0.0,stomach
nn_hb,rocauc,0.0,thyroid
rf,rocauc,0.0,thyroid
ridge_classification,rocauc,0.0,thyroid
nn_hb,rocauc,0.0,upper
rf,rocauc,0.0,upper
ridge_classification,rocauc,0.0,upper
nn_hb,rocauc,0.8333333333333334,urinary
rf,rocauc,0.6666666666666667,urinary
ridge_classification,rocauc,0.6666666666666667,urinary
